sentence,label
suffers from a flat script and a low budget ,0
"features nonsensical and laughable plotting , wooden performances ",0
are telegraphed in the most blithe exchanges gives the film its lingering tug . ,0
you 're the kind of parent who enjoys intentionally introducing your kids to films which will cause loads of irreparable damage that years and years of costly analysis could never fix ,0
children and adults enamored of all things pokemon ,1
"is busy contriving false , sitcom-worthy solutions to their problems ",0
of a pregnant premise being wasted by a script that takes few chances and manages to insult the intelligence of everyone in the audience ,0
's a barely tolerable slog over well-trod ground . ,0
` how can you charge money for this ? ' ,0
"watching this gentle , mesmerizing portrait of a man coming to terms with time , you barely realize your mind is being blown . ",1
"zero thrills , too many flashbacks and a choppy ending make for a bad film ",0
"it is were it not for the striking , quietly vulnerable personality of ms. ambrose ",1
", but it otherwise drowns in a sea of visual and verbal clichés . ",0
in alcatraz ' ... a cinematic corpse that never springs to life ,0
of more self-absorbed women than the mother and daughters featured in this film ,0
viewers not amused by the sick sense of humor ,0
"in showing us well-thought stunts or a car chase that we have n't seen 10,000 times ",1
watching `` ending '' is too often like looking over the outdated clothes and plastic knickknacks at your neighbor 's garage sale . ,0
"for every articulate player , such as skateboarder tony hawk or bmx rider mat hoffman , are about a half dozen young turks angling to see how many times they can work the words `` radical '' or `` suck '' into a sentence . ",0
have absolutely no idea who the main characters are until the film is well under way -- and yet it 's hard to stop watching ,1
"would be great to see this turd squashed under a truck , preferably a semi . ",0
carry the film on his admittedly broad shoulders ,1
confessions is without a doubt a memorable directorial debut from king hunk . ,1
mishandle the story 's promising premise of a physician who needs to heal himself . ,0
"a work of extraordinary journalism , but it is also a work of deft and subtle poetry . ",1
while hollywood ending has its share of belly laughs ( including a knockout of a closing line ) ,1
"offbeat humor , amusing characters , and a happy ending ",1
"expands the horizons of boredom to the point of collapse , turning into a black hole of dullness , from which no interesting concept can escape . ",0
that the entire exercise has no real point ,0
that reek of a script rewrite designed to garner the film a `` cooler '' pg-13 rating ,0
"what enlivens this film , beyond the astute direction of cardoso and beautifully detailed performances by all of the actors , is a note of defiance over social dictates . ",1
"'m going to recommend secretary , based on the wonderful acting clinic put on by spader and gyllenhaal ",1
"( less a movie than ) an appalling , odoriferous thing ... so ",0
"engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing ",1
"the pitch-perfect forster to the always hilarious meara and levy , like mike shoots and scores , doing its namesake proud ",1
"in its place a sweetness , clarity and emotional openness that recalls the classics of early italian neorealism ",1
be forgiven for frequently pandering to fans of the gross-out comedy ,0
"if the director , tom dey , had spliced together bits and pieces of midnight run and 48 hours ( and , for that matter , shrek ) ",0
", it stays in formula -- which is a waste of de niro , mcdormand and the other good actors in the cast ",0
in the reassuring manner of a beautifully sung holiday carol ,1
"the film boasts dry humor and jarring shocks , plus moments of breathtaking mystery . ",1
about a domestic unit finding their way to joy ,1
god is great addresses interesting matters of identity and heritage ,1
a visual style that incorporates rotoscope animation for no apparent reason except ,0
"michael moore has perfected the art of highly entertaining , self-aggrandizing , politically motivated documentary-making ",1
jiang wen 's devils on the doorstep is a wartime farce in the alternately comic and gut-wrenching style of joseph heller or kurt vonnegut . ,1
"but if the essence of magic is its make-believe promise of life that soars above the material realm , this is the opposite of a truly magical movie . ",0
"never rises above easy , cynical potshots at morally bankrupt characters ... ",0
the passions that sometimes fuel our best achievements and other times ,1
playing out like a feature-length sitcom replete with stereotypical familial quandaries ,0
"the sorriest and most sordid of human behavior on the screen , then ",0
", it 's one of the worst of the entire franchise . ",0
that first made audiences on both sides of the atlantic love him ,1
the slightly flawed ( and fairly unbelievable ) finale ,0
"if you love reading and/or poetry , then by all means check it out . ",1
"spielberg 's picture is smarter and subtler than ( total recall and blade runner ) , although its plot may prove too convoluted for fun-seeking summer audiences . ",1
made indieflick in need of some trims and a more chemistry between its stars ,0
"while nothing special , is pleasant , diverting and modest -- definitely a step in the right direction . ",1
